MessageNumber,Message,English,MessageID,CM_1,CM_2,CM_3,CM_4,CM_5,CM_6,AOPV_1,AOPV_2,AOPV_3,AOPV_4,AOPV_5,AOPV_6,CDACT_1,CDACT_2,CDACT_3,CDACT_4,CDACT_5,CDACT_6,TI_1,TI_2,TI_3,TI_4,TI_5,TI_6,TTBF_1,TTBF_2,TTBF_3,TTBF_4,TTBF_5,TTBF_6,MessageNumber2,Hate,Year,CM,AOPV,CDACT,TI,TTBF
150,"﻿I believe  it was the Moors that invaded 
Spain (Spain was once predominately 
Caucasian), and as you know to invade is to 
rape and plunder (to be conquored is to no 
longer speak your national language). This 
now mixed horde continued their invasion 
up into England and Ireland, while raping 
and plundering. That is why you now have 
the Orangemen and the Greenians 
(whatever) in Ireland fighting to stay apart, 
and why you have that great and famous 
Pirate (forget his name) with flaming red 
hair.   
If you will notice: the people in Palestine 
etc. are whiter than our own America. 
 
The fall of the Roman Empire was the result 
of the mixing of races (like, man, you really 
lose your identity when you are no longer 
either Negro, Caucasian or Oriental) - they 
married their slaves.  
 
The Jew is a mixture of Negro, Caucasian 
and Oriental, as is the Mexican and that 
entire bunch on the other side of our 
Southern border. All of these mixed-up 
Third-World people are sucking up our 
hard-earned wages. So what does that tell 
you about this pack of parasites on the back 
of the Caucasian. We willnot last too much 
longer, so young, Caucasian  people must 
search for an alternative life style. The Bible 
tells us to flee into the mountains. People as 
myself (i am part American Indian, since my 
Dutch forefather, of the first Dutch to land 
in America,   married the daughter of a 
Chieftain) should do anything we can to 
help the pure Caucasian from becoming 
extinct. There civilization is the greatest in 
all of Creation; they are important to our 
well being. Without them there will be no 
organized, civilized, Christian Society, 
which we all love so much, and from which 
we profit. 
 
May i mention something here. Before the 
Asiatic Indian settled in America, there 
were tribes of white (Indians) here before 
them, which were wiped out, so i my be a 
lot whiter than i think. The picture i saw of 
my forefather, the Indian Princes, seemed 
to have light eyes and didnot look as todays 
American Indian. Of course the picture was 
very old, and cannot be trusted. Just the 
same i consider myself Caucasian or as 
Caucasian as you can get here in America, 
and, yes, here in America the dirty Irish 
are considered Caucasian, but i donot think 
so in some parts of Ireland, England and 
Scotland. Irish have milky-white skin, 
flaming-red hair, and blue eyes, as did Jesus. 
I wonder if green eyes were also of the pure 
Caucasian, although i doubt it because 
yellow mixed with blue is what makes 
green. I would imagine, Cain, the son of 
Satan, and twin brother of Able had yellow 
eyes,  as does my one daughter from my 
second marriage to a man of  Russian 
descent. American Indians came from 
Sibera. Neat book: Indians by William 
Brandon 
 
Jesus was Caucasian, as you can see by 
looking around that area now, and seeing all 
the pure Caucasian people (look at the 
features; especially of some of those babies, 
not always the skin, because the adults are 
tanned, from living outside). 
 
Colombus said the American Indian was the 
cleanest civilization on the Earth as he had 
found it. 
Even today, in the blood of the American 
Indian can be found the oldest blood type in 
the World. 
 
The American Indian has no body hair, 
neither on their face nor chest, and their hair 
is poker straight. Both man and woman can 
grow extremely long hair. Unless you have 
these traits, you arenot pure American Indian. 
 
Just out of morbid curiosity i am waiting to  
see exactly how long my hair can really get.  
As of now it is below my butt. 
 
You can get all of this information from the  
urls page - again why it is so important to  
keep this page on the Information Highway. 
 
Truth will set you free.   
 
Paminifarm clink",1,150,3,1, , ,3,3,1,1, , ,1,1,6,6, , ,6,6,6,1, , ,4,6,1,2, , ,1,1,150,0.897,2001,2.5,1,6,4.25,1.25
151,"I believe they are both one in the same, the Jews push the fag issue.  The worst case scenario would a gay Jew.",1,151,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,4,2,2,2,1,151,0.908,2020,1,1,3,1,2.166666667
152,"I cannot fix anything  and neither can anyone else if it is not God's Will. If you actually were a Christian you would know this.  The liberal faggot and likely Jew is of Satan and so we can pray against him and hope for his demise, which I am sure many of us do,  but ultimately it is up to God to punish him.",1,152,1,1,1,1,1,2,1,2,1,1,2,1,3,3,5,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,152,0.905,2020,1.166666667,1.333333333,3.333333333,1.333333333,1
153,I can't seem to understand why any single person here dignifies cornholio sambo with anything that resembles an answer. Who really belives the little nig has any friends...much less a girlfriend!?!?,1,153,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,3,5,5,3,1,2,153,0.888,2001,1,1,3,1,3.166666667
154,"I completely agree, Strapu.... all these Mexicans and such crawl across the border and theyre livin it up, while we (decent , harkworking AMERICAN CITIZENS)  have to pay for it all!! They dont care that theyre taking jobs away from the American people, and what does the gov't do? ABSOLUTELY NOTHING!!! Theyre too busy trying to appease all the ******s who are whining and bitching (still) about what happened hundreds of years ago. Guess what, ******, EVERY race of people have been enslaved at one time or another so QUIT YOUR BITCHING!!!! If anything now, its reverse desrimination. Who has the hardest time finding a good, decent job? The white male. Damn affirmative blacktion!! My ex applied for a job, but guess what, he didnt get it!!! Want to know why?? Because he's white... some niglet got the job b/c they needed to make quota. This country is going to HELL!!!",1,154,2,3,2,4,3,2,1,1,1,1,1,1,6,3,6,6,5,3,5,5,5,5,5,5,1,1,2,1,1,2,154,0.895,2001,2.666666667,1,4.833333333,5,1.333333333
155,"I could tell you plenty about rag-heads buddy.they are a lying, filthy lot of rats who deserve to be put on barges and shipped to the nearest uninhabited island. I near a small s. texas town which has been marked by these rats because it has a college with a good engineering dept. . Somehing that attracted them no doubt so they could learn to build bombs. when the cole was bombed they had a big rally in front of the student union bldg. And the very same morning of the nytc catastrophie they had the nerve to walk around throwing that little""v"" sign as if celebrating the event as they surely did. do you know you are paying to put some of those people through school? I dont like that do you. the bleeding heart faggots in this country will always cry for these poor miserable bastards even next time they f--- us up and the time after that and for ever until people like you and i do our duty and stop them for ever.",1,155,1,5,3,3,3,5,1,1,1,1,1,1,5,3,5,5,5,3,6,5,4,5,5,4,4,1,1,2,1,5,155,0.898,2001,3.333333333,1,4.333333333,4.833333333,2.333333333
156,I don't care what that faggot has to say about it.,1,156,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,156,0.905,2020,1,1,3,1,1
157,I got a great Idea. Get all the queers in the US and draft them into a special rainbow brigade. arm them and drop them into Afganistan and tell them to find osama bin laden. Oh and never pick them up. The Arabs would be so scared they would give him up for fear of being but raped! Oh sorry......,1,157,1,3,1,5,1,5,1,6,6,1,2,1,3,3,3,3,3,3,1,1,1,4,4,1,4,4,4,4,4,4,157,0.889,2001,2.666666667,2.833333333,3,2,4
158,"I guess the only reason they still exist is because they rape a lot. In africa, rape & sex are the same thing. They're garbage and they should be extinct by now. They're just retards who always depend on the white man.",1,158,1,1,1,3,1,2,1,2,1,1,2,2,5,5,5,5,3,3,1,1,1,5,6,1,1,2,2,1,1,2,158,0.902,2020,1.5,1.5,4.333333333,2.5,1.5
159,I hate faggots.,1,159,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,159,0.914,2020,1,1,3,1,1
160,"I hated Clinton from the very first moment I laid eyes on his smirking, Pillsbury Dough Boy face. My loathing is a tangible thing. He is the personification of race-traitor evil in the age of Jewsmedia-controlled mass ""democracy"".  
 
As for his latest anti-White spewings: slavery under White Christian masters was the greatest thing that ever happened to the nigra. They were already slaves under brutal black apes & Arabs when the White slave dealers brought them to America and saved them from a far worse fate. Thanks to this incredible stupidity, we are forced to listen to & look at Jesse Jackson & Al Sharpton, and worship ""The Rev. Dr. Martin Luther"" King.  We're  the ones owed reparations. 
 
And I'm glad we took the land from the Indians & created America (the original version). Not a thing to apologise for there. They deserved to be dispossessed because they were nothing but a relative handful of Stone Age savages when our ancestors arrived on these shores, and they tried repeatedly to wipe us out - and were damn nearly successful. With a supreme effort of will & courage, our people did not merely survive, they conquered. And so we did to the Injuns what they tried with all their might to do to us. Good.",1,160,1,3,2,2,2,2,1,2,2,1,1,2,6,3,6,6,6,6,5,6,6,1,4,2,1,2,1,2,1,2,160,0.889,2001,2,1.5,5.5,4,1.5
161,I have been giving out candy too. We had a group of about 10 little nigglets knock on the door and they were not even in costumes. And I know the little monkeys are not from my area. We have two families around here and they play by the rules and conduct themselves pretty well. I know it won't  stay that way for long though. It really is sad.,1,161,1,1,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,1,2,4,1,4,1,1,1,5,1,1,5,161,0.886,2001,1.666666667,1,3,2.166666667,2.333333333
162,"I have no problem with that particular part of the Talmud. Homos, adulterers and perverts ought to be stoned to death. I hope they choose me as the executioner. That would be fun, sending fags to Satan.",1,162,1,1,1,3,1,1,5,6,6,6,6,6,3,3,5,3,3,3,1,1,1,1,6,1,5,3,2,2,1,2,162,0.906,2020,1.333333333,5.833333333,3.333333333,1.833333333,2.5
163,"I have recently moved from Ohio to  CA near Fresno for the last 2 months, and it has been culture shock here for me.. so at the end of the month, I am heading back east to Missouri were it is WHITE.. Well, yesterday, on my way to work, I drive from the mountains everyday to work in Fresno, (because there are white people up in the mountains..)  I go to work at 5am.. only people on the road are nigs and spics.  I was at this stop light, it was red.  There was a nig to the right of me, and a nig to the left of me, both female.  The light was red, we were sitting there waiting, I could see the nig on the left wanting to turn left, was getting impaitient.  I see her fly through the red light, and there was and oncoming car coming throught the intersection from the right, she sides swipes the car coming from the intersection.. and keeps on going!! Kocking the guy she hit off the road!! She had a beater car, and the guy she hit had a nice car.  I would have stopped, but was late for work,  and the guy looked ok.. but MAN!!! The IGNORANCE!!! Had she waited 2 more seconds the light would have changed.. and no one would have gotten hurt.  But that just goes to show the ignorance of NIGS.. 
 
I have never seen anything like that in Ohio, so it really shocked me.. so after thanksgiving, I am moving out of this crazy place called CA, and seeing if I can have a better life in MO.  Where there are hardly any Latrinos or NIGS!! HAHA!!",1,163,1,1,2,2,2,2,1,2,1,1,1,1,5,5,5,6,3,3,4,1,4,4,4,1,5,2,5,5,2,5,163,0.888,2001,1.666666667,1.166666667,4.5,3,4
164,"I have to say spics are worse because they are recent immigrant invaders. In Central America, South America, and Mexico, there is an endless supply of these mud colored bastards who want to come here. 
 
The Blacks are not great, but they have been here longer. The rate of miscegenation is lower with Blacks than with spics. This may be small consolation, but Blacks have provided us with entertaiers and athletes. What have spics given us other than cheap labour? Blacks are a pain in the ass in their own way, but they are the lesser of two evils.",1,164,2,1,2,2,2,2,1,1,1,1,1,1,5,3,5,5,3,3,6,5,6,1,4,4,1,4,1,2,1,1,164,0.901,2001,1.833333333,1,4,4.333333333,1.666666667
165,"I have to say that I don't agree with this statement. I am glad women have certain rights. I am a very outspoken person and like to do many things that are considered to be 'man' things...like hunting and fishing and racing cars, and fixing them...I am not sure why some  men are faggots but I am sure that it has nothing to do with women.",1,165,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,4,3,3,1,1,1,1,1,1,1,2,1,1,1,1,165,0.889,2001,1.166666667,1,3.166666667,1,1.166666667
166,I haven't been in FL for a few years.  Are there alot of faggots and  low life cubans there?,1,166,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,1,1,2,166,0.912,2001,1.166666667,1,3,1,1.5
167,"I hear ya man.  If it was 1985 right now, I'd be getting all the chicks right now.  But unfortunatly, the rocker type guy isn't what chicks look for anymore.  You either gotta look all clean cut like some faggot boy band, or be decked down in FUBU gear and be all like ""yo yo yo, wuz goin on in this shiznit""  chicks these days have no taste",1,167,1,1,1,1,1,2,1,1,1,1,1,1,3,3,5,3,3,3,1,5,1,1,1,1,3,3,4,2,1,2,167,0.89,2001,1.166666667,1,3.333333333,1.666666667,2.5
168,"I hope they are too stupid or just plain ignorant to find out about vitamin D supplements.  The fewer feral 'groids in our midst, the better off society will be.",1,168,1,1,1,2,1,1,1,2,1,1,1,1,3,3,3,3,3,3,4,1,4,4,1,4,2,2,4,2,2,2,168,0.902,2020,1.166666667,1.166666667,3,3,2.333333333
169,"I hope we carpet bomb the hell out of those dune coons! I dont give a **** if they hate the zionists or not, we can never work together with such scum. 
 
 
 
 
:attack",1,169,1,1,1,5,3,1,6,6,6,6,6,6,3,3,3,5,3,3,1,1,1,4,1,1,2,1,1,1,1,1,169,0.892,2001,2,6,3.333333333,1.5,1.166666667
170,"I just thought I would get some opinions of the significance, and or ramifications of the population explosions of largely undeveloped countries.  
 
This site contains some sad statistics  http://www.xist.org/global/ixgd.htm 
 
The more industrialized and modernized countries in europe, and north america are experiencing a lack of growth of the white population which is rather troubling to me.  This is coming in an era where we, and our european brothers are seeing a dramatic increase in immigration, which as we all know heavily favors the very people that despise us.  In my opinion this in flux of non-euro people is going to be the downfall of the white race.   
 
This is evident in the last U.S. census, which shows a dramatic increase in the every ethnicity other than the white population.  This liberal minded approach to immigration will eventually catch up with us and will prove to be disasterous.  I think when these sorry ass, ****** loving liberal faggots figure out what happened it will be too late.  We will be outnumbered in our homeland by people that have held content for us for centuries.  
 
Once these ******s, and spics are successful in destroying our nation and our culture the gooks will take full advantage of our weakness and this is where we will see the real reason behind the inability or should I say unwillingness of china to regulate its population.  
 
Truely a sad state of affairs, where most brainwashed people of this country dont realize or are too stupid to understand whats going on.",1,170,2,3,2,2,2,2,1,1,1,1,1,1,6,3,5,5,5,3,6,4,6,6,4,6,1,1,1,1,1,1,170,0.901,2001,2.166666667,1,4.5,5.333333333,1
171,"I know what you mean Visigoth! My first visit to  Miami, was like a shocker, there were so many spics, that I felt like I was in Puerto Rico!! I couldn't believe how many of them I saw! They surely are taking over, much faster and worse than the blacks.",1,171,1,1,2,1,2,2,1,1,1,1,1,1,3,3,3,3,3,3,6,1,1,4,4,6,2,2,2,2,1,1,171,0.889,2001,1.5,1,3,3.666666667,1.666666667
172,"I left CA in '71 because they make FL look like pikers when it comes to fags, greasers, & juden-schwein...One can only surmise 
what happens if the rag-heads attack there w/ebola virus---I'll 
mourn for the Aryan-Americans killed in such attacks. 
  The reality now, since9/11, is that we're ALL on the front-lines 
now.... 
                    No more Brother-Wars 
:attack",1,172,1,1,2,2,2,2,1,2,2,1,1,2,3,3,5,3,5,3,4,2,6,1,3,4,1,1,1,2,1,1,172,0.89,2001,1.666666667,1.5,3.666666667,3.333333333,1.166666667
173,"I live 120 miles from the Mexico border. What you rarely hear about in these debates is that- 
 
Sarita Checkpoint (On US Hwy. 77 -17 miles form my parents house.) They are constantly busting these Mexico trucks with large quanities of drugs. 
 
They are constantly busting them with large numbers of illegal aliens. 
 
The drivers of these trucks drive just like they do in Mexico, like drunk teen agers. 
 
Whenever you see one of these browns riding around here you can bet your best dog that they are behind something illegal. 
 
I would like to see the border to Mexico closed completely. I know it would have economic reprucussions on our country but it would be well worth it. 
 
The US is silly in thinking that they can use border states as a buffer between Mexico. Its like a dam. Once a little bit of water gets through, it just keeps on coming. The worst part is that this water is more like sewage.",1,173,4,3,4,4,4,4,1,2,1,1,1,1,5,3,5,5,3,5,4,4,4,4,1,4,3,1,5,2,1,1,173,0.89,2001,3.833333333,1.166666667,4.333333333,3.5,2.166666667
174,I live in California.  The mestizos suck but at least they pounce on the negroes.,1,174,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,2,4,4,2,1,1,174,0.908,2020,1.333333333,2,3,1,2.333333333
175,"I love White ladies who are soft & voluptuous - to put it in plain language: more cushion for the pushin'.  And while I don't like the look of cheap bleach blondes & silcone queens, what I cannot abide at all is nasty tattoos & body piercings. It seems that every other young White girl sports several of both these days, and it's sickening. Most of these girls are so impressionable & desperate to prove their hipness by embracing the latest Jew/fag-concocted fad, they'd gladly wear a gold-plated dog turd around their necks.",1,175,1,1,1,1,1,2,1,1,1,1,1,1,3,3,5,5,3,3,1,5,1,1,1,1,2,2,2,1,3,2,175,0.893,2001,1.166666667,1,3.666666667,1.666666667,2
176,"I normally agree with 90% to 95% of Dr. Pierce's ""Dissident Vioces"" broadcasts.  Not this time.  Our nation was attacked by harde of Middle Eastern invaders who wisht to destroy our European culture and heritage.  Perhaps part of Bin Ladens's motivation was our governments's support of Isreal, but to a greater extent they see anyone who is not Muslim as fair game for their killing spree. 
 
I believe we need to take care of this menance first by deporting all illegal aliens NOW!  Then take care of this threat to Western Civilization.  Then we can take care of our nation's irrational support of Isreal.",1,176,4,3,4,4,4,5,1,6,1,1,2,1,5,3,5,5,5,3,6,4,4,6,4,6,1,1,1,1,1,1,176,0.893,2001,4,2,4.333333333,5,1
177,"I notice a lot of Floridians talking here...I'm in Fl, so I'll throw in my two cents......Summer, I recently dyed my hair flaming red from white-blonde, the nigs seem to think i'm trying to look like christina aguerlira or something, Since I always see nigs with unattractive, slobby, fat race-trading whores, I have no idea what makes them think they could get a wp chick, They should know If we hold our head high; we are too good.  Yesterday was beautiful out, so I was enjoying the weather walking.  Dumb me.  A nig rides by on a bike, tries to start 'rappin' to me, I gave him a dirty look and told him to f*** off.  He says ""damn, do I need to tighten my game?"" They just can't take a hint, I think it should be common law that white girls should be able to shoot theses stupid F***ers!",1,177,1,1,1,1,1,2,5,5,5,5,5,5,3,3,6,5,3,3,4,1,4,3,4,1,2,4,5,5,1,5,177,0.893,2001,1.166666667,5,3.833333333,2.833333333,3.666666667
178,"I noticed one of yall mentioned wannabe white drug dealers. I know that world, I know that culture. I don't think po trailor trash are allowed in that ""underground."" You know why? It's because the mafia purposely gives that ""priviledge"" to the nigs and spics in our cities. Why is that? Maybe because they're playin' them the fool.  Money doesn't buy quality or happiness all the time my friends.  But the mafia is actually looking out for their own in not bringing their underground trades into their neighborhoods. Yet, there are plenty of dumb white folks that continue to seek out for dope. Most of us don't do that.  
 
    I know good and well if you do any illegal drugs, that you're more than likely dealing with a ****** somewhere up in the chain. It's always the case. Funny how that movie ""Training Day"" depicted some white dude as the mastermind of drugs in Los Angeles. I seriously doubt it is some white dude. I think it's some ****** with millions of dollars, or maybe some Mexican in LA that is the ""top dog"" of drugs in LA.  That is why I don't do drugs. I hate drugs. I feel sorry for people who get sucked into drugs, but I know they will never be the same. 
 
     Though yall will judge a white man because he ""acts"" like a ****** in your mind.  I judge a white man if he is weak enough to give into drugs. Marijuana included. That stuff confuses you just like all the rest of them. There are legal drugs that mess white folks up. I'm totally natural, drink naturally brewed beer, eat raw vegetables, and even raw meat sometimes. I believe in natural foods, and I hate doctors and prescriptions.  
 
    It's easier to convince a ""wigger"" to your side, than a drughead is what I'm saying. Dope fiends, and potheads are full of poison. They may ""agree"" with you, but they will end up destroyin you in the long run, because they are not in control of themselves, let alone anybody or anything else.",1,178,1,1,2,1,2,2,1,2,1,1,1,1,5,3,6,5,5,5,3,1,1,1,1,1,1,1,1,2,1,2,178,0.889,2001,1.5,1.166666667,4.833333333,1.333333333,1.333333333
179,"I posted this on  www.ls1.com  in a thread about racism, what do you think?               ""OK rant on, Let me start, yes I am  Racist moreover I am a Fascist. I do not need to see the riots in the major cities. I look around the massive immigration to my little town, I see property value dropping, crime rates go up, I see illegals everwhere I look. Many other citizens and the local P.D. have called the I.N.S. to come and pick up the illegals, we ofcourse get the reply, ""Sorry, its too far to come"" they are based in Philly. And President Bush wants to legalize 4 million illegals. Well Sh*t where are my Federal taxes goin? Ever since the civil rights era crime has gone up, education gone down, many dont want to admit it, but is indeed do to Busing/Integration. America is not a Nation any longer. Nation implies blood, Mexicans, Blacks, and Jews are not of my blood. The European race has undoubtly contributed more to the world than any other, even though we were always the minority. We gave the world flight, put a man on the moon, automobiles, computers, music, T.V. our ingenuity knows no bounds.  I unfortunatley wasn't born a racist, nor was it taught to me, I open my eyes and looked around me, these other people contribute nothing to the world, why are they equal to us? In what way are they supposed to be equal? Certainly not in intelligence. I have seen America constantly bending over backward to please a race that will ultimately be its downfall. I'm tired of hearing of ""Reparations"". Go get them from your brothers in africa who sold you to us. We did not kidnap you. I have seen the ANC bring South Africa from a once great nation to that of almost 3rd world. Unfortunatly the Western wolrd has no tommarow. In 20 years we shall be the minority in a nation our forefathers built from nothing. It saddens me to see it go. People think you can educate these creatures, folks, I don't see it happening any time soon. America rose to be the master of its hemisphere, why do you suppose that is? I'll tell you, its because its where the greatest number of whites settled, same with South Africa. Look at Portugal, it used to be one of the greatest nations on earth, but unfortunatly they brought with them blacks from africa for slaves and they intermixed with the rest of the population. So for about 300 years portugal has had no great innovations, Same with Spain, The Moors invaded there. Is Spain still a Great nation? Are they a Powerful nation? We are now 8% of the worlds population, Gentlemen I fear our race is near extinction. It is unfortunate most do not realize it, do not look with their own eyes, but instead listen to what they are told about equality without a second thought. I have seen the propaghanda, the T.V. telling me racism is evil. I've seen people slandered for not accepting immigration. Hooray for capitlaism. The rich and powerful allow Mexicans, and other immigrants so they can make a buck of cheap labor.I've seen Miscegenation every corner I turn. MTV makes these people look ""cool"" so ppl want to be cool and imitate them. I have seen the communists portrayed as hero's same with the americans, but not once the Nazis Or the fascists in Italy. The lies have been told. What will you do when there are no Europeans left? Do you not feel anything when our racial homelands are invaded?""",1,179,2,3,2,2,1,2,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,5,1,1,1,179,0.891,2001,2,1,6,6,1.666666667
180,"I quite agree! The fashion industry is extemely diseased. A bunch of faggots decree whether your tie should be wider or thinner. What color is in or out according to their whims, and these are displayed on a bunch of pouty looking, silicone implanted,  anorexic looking freaks instead of women!  
 
Is it any wonder that eating disorders have increased in the last few decades? These artificial and totally faggot/Zog inspired images are damaging. In layman's term's, it's known as cognative dissonance. the same garbage goes on in all media especially in The cultural vomit known as MTV and related money making and degenerate crap. Can anyone tell me that the punk whigger known as M n M, Madonna, or Rap/Hip Hop is culturally relevant or redeeming in any way? It's typical of the garbage passed on in the name of choice and artistic freedom that passes for culture nowadays! 
 
Turn off the goddamn jew-tube! The center is collapsing around us and we worry about who is on MTV and who batted .309 last year! Like this **** matters!:explode",1,180,1,1,1,1,1,2,1,1,1,1,1,1,5,3,5,5,3,5,1,1,1,1,4,1,2,4,2,2,2,2,180,0.89,2001,1.166666667,1,4.333333333,1.5,2.333333333
181,"I remember seeing that hate crimes thing on MTV a little while ago.  This was nothing but an attempt to stir up hatred for whites in minority communities while masquerading as a public service announcement.  MTV is so far to the left that they're over the edge, and they don't even try to hide that fact.  Just in case you don't remember that Hate Crimes special, I'll refresh your memory.  Basically what it was, was there were a bunch of hate crimes written on the screen in text form, read by mostly ****** rap artists in typical ebonics jive speech, where the perpetrator was almost always white, and the victim was either gay or a minority. This was shown after the propoganda movie ""Anatomy of a hate crime"" which which MTV produced about the young sodomite, Matthew Shepard.  For all the hype given to this story, it was nothing more than a simple mugging gone bad.  I don't think those guys even meant to kill the faggot, and if they refered to him as a fag, its simply because that what he was",1,181,1,1,1,1, ,2,2,5,2,1, ,2,5,3,5,5, ,3,3,3,3,3, ,3,2,2,5,2, ,2,181,0.89,2001,1.2,2.4,4.2,3,2.6
182,I seem to remember seeing a faggot white or jewish South African judge on television whining that he could afford AIDS drugs but most other south Africans couldn't.,1,182,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,182,0.904,2001,1,1,3,1,1.166666667
183,"I suggest either Neil Patrick Harris, David Hyde Pierce, or Jim Parsons. 
They are all queers who get a lot of money to act like straight men. 
Why not go full fag? Anyone of them could act like a straight white 
vice president for 4 years.",1,183,1,4,1,1,1,1,1,1,1,1,1,1,3,3,5,3,3,3,1,1,1,1,1,1,3,4,4,2,3,2,183,0.907,2020,1.5,1,3.333333333,1,3
184,"I think about one-quarter or more of Florida's population of 16 million is made up of first generation Hispanics {not of Spanish origins unlike the former Gov. Bob Martinez} 
 
There are not only towns of illegals brought here to work plantation agriculture, but also plenty of Puerto Ricans mixes brought in by plane to Orlando from Chicago and New York. 
 
With the West Coast of the U.S. already having turned over in population and the same happening here in a few decades you just no longer feel represented by our institutions. 
 
Large numbers of East Asians and Pakistanis are also making Florida their new home.",1,184,2,3,2,2,2,2,1,1,1,1,1,1,5,3,5,1,3,3,1,4,5,1,1,4,1,1,1,1,1,1,184,0.891,2001,2.166666667,1,3.333333333,2.666666667,1
185,"I think it is a jdl or ara attack, these jews and fags have nothing better to do but hack and spam a WP message board.",1,185,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,3,3,1,1,1,1,2,1,2,1,1,185,0.901,2001,1,1,3,1.666666667,1.333333333
186,"I think the American and British military, are the most powerful military in the world. 
If they pull no punches, they could crush Afghanistan and its military without any big problem. 
 
I also think we should stop all immigration from the middle east. 
This would prevent more terrorist from entering our country.",1,186,4,5,5,4,5,5,2,6,6,2,6,6,6,1,6,5,3,4,5,4,1,4,6,4,1,1,4,1,1,1,186,0.888,2001,4.666666667,4.666666667,4.166666667,4,1.5
187,"I think the boys from Hanson are very talented.  I'm not really into bubblegum pop, but at least those boys are good at what they do, and can actually play instruments unlike those other faggot boy bands like Backstreet Boys, Nsync, 68 Degrees, etc... that are trying so hard to act black.  I have nothing but the utmost respect for Hanson",1,187,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,4,3,3,1,1,1,1,1,1,1,1,2,1,1,2,187,0.898,2001,1,1,3.666666667,1,1.333333333
188,"I want a non-White ""free zone"" encompassing all of North America, including 50 miles past the Panama Canal...followed by a 50 mile wide DMZ. 
 
Our territorial waters would go out 200 miles from the shore, and airspace would extend 1000miles from the coast, up to ""space"" (100 miles above MSL) 
 
The jews could go to Israel (or Madagascar   ) and the ""nig-nogs"" (what IS that, anyway??) can go to South America. 
 
Wait a minute--aren't there Whites down there?  Well, I guess the Nig-nogs are out of luck... 
 
Arizona is too beautiful to just give away...good map though!",1,188,4,5,5,5,3,5,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,4,4,4,2,4,2,2,1,2,188,0.89,2001,4.5,1,3,4,2.166666667
189,I was in Charlottesville the other day when I saw 2 of these revolting specimens. One had a moronic nigress rappin' at full blast on his stereo system. The fact that we were both looking for a space in a parking garage made it all the more infuriating. Then I was treated to the sight of a pimply-faced college punk wearing a pair of billowing bellbottoms so huge they could cover Jerrold Nadler's fat ass.  Bastard was probably a faggot as well as a whigger.,1,189,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,3,2,5,2,3,2,189,0.894,2001,1,1,3,1,2.833333333
190,I wonder how many fags work there. This fag and that piece of garbage fag Lemon. Before I knew Cooper was a fag I knew something was up when he became one of their anchors. Blonde males just aren't anchors in that Jew cesspool. But since Cooper is a sodomite pervert he's allowed.,1,190,1,1,1,1,1,2,1,1,1,1,1,1,3,3,5,3,3,3,1,1,1,1,1,1,2,4,1,2,1,1,190,0.908,2020,1.166666667,1,3.333333333,1,1.833333333
191,"I won't begin to go into how many diseases, super diseases, viruses, super viruses, plagues, etc would instantly result.  
 
 
This all goes back to basic common sense. Things the left and the JEWS love to leave out. Some of those Asiatic races are disgusting, in general all blacks are.  
 
 
The filth that would surmount -  would burn a hole into the ozone layer.",1,191,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,3,1,1,6,1,1,1,4,4,4,2,1,2,191,0.903,2020,1,1,4.333333333,1.833333333,2.833333333
192,I work with a Kurdish woman.  She is definitely white.  Before I knew where she was from I thought she was Russian. It seems to me she was more white than a lot of the Turkish scum we have here in Sydney.,1,192,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,4,1,1,1,1,1,1,2,1,1,1,192,0.897,2001,1,1,3,1.5,1.166666667
193,I would like to see the military deport these anti-American trash.,1,193,4,5,5,5,4,5,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4,1,1,4,1,1,1,1,1,1,193,0.902,2020,4.666666667,1,3,3,1
